"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
244,2006,12,0,200,"4035","1147","0","0","5182","1710","124","7016",0,0,0,0,0,0,0,0
244,2006,12,0,300,"4818","914","190","0","5922","1094","0","7016",0,0,0,0,0,0,0,0
244,2006,12,0,400,"5097","0","848","0","5945","1011","60","7016",0,0,0,0,0,0,0,0
244,2006,12,0,500,"4462","250","280","6","4998","3161","8","8167",0,0,0,0,0,0,0,0
244,2006,12,0,600,"4851","0","368","9","5228","2925","14","8167",0,0,0,0,0,0,0,0
244,2006,12,0,700,"5637","0","0","0","5637","2522","8","8167",0,0,0,0,0,0,0,0
244,2006,12,0,800,"5347","1","230","0","5578","2589","0","8167",0,0,0,0,0,0,0,0
244,2006,12,0,900,"5714","0","14","0","5728","2439","0","8167",0,0,0,0,0,0,0,0
244,2006,12,0,1000,"5081","77","518","0","5676","2491","0","8167",0,0,0,0,0,0,0,0
244,2006,12,0,1100,"4909","237","498","0","5644","1372","0","7016",0,0,0,0,0,0,0,0
244,2006,12,0,1200,"5012","281","106","0","5399","1617","0","7016",0,0,0,0,0,0,0,0
133,2006,12,0,100,"624","0","0","81","705","-20","0","685",0,0,0,0,0,0,0,0
133,2006,12,0,200,"608","0","0","86","694","-11","0","683",0,0,0,0,0,0,0,0
133,2006,12,0,300,"582","0","0","91","673","-20","0","653",0,0,0,0,0,0,0,0
133,2006,12,0,400,"565","65","0","23","653","-5","0","648",0,0,0,0,0,0,0,0
133,2006,12,0,500,"426","140","0","17","583","-20","0","563",0,0,0,0,0,0,0,0
133,2006,12,0,600,"475","118","0","20","613","-12","0","601",0,0,0,0,0,0,0,0
133,2006,12,0,700,"436","148","0","17","601","-16","0","585",0,0,0,0,0,0,0,0
133,2006,12,0,800,"445","150","0","18","613","-14","0","599",0,0,0,0,0,0,0,0
133,2006,12,0,900,"536","22","0","63","621","-18","0","603",0,0,0,0,0,0,0,0
133,2006,12,0,1000,"458","92","39","56","645","1","0","646",0,0,0,0,0,0,0,0
133,2006,12,0,1100,"595","0","41","45","681","-8","0","673",0,0,0,0,0,0,0,0
133,2006,12,0,1200,"597","0","0","70","667","-5","0","662",0,0,0,0,0,0,0,0
216,2006,12,0,100,"6597","1030","54","0","7681","302","0","7983",0,0,0,0,0,0,0,0
